epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3311,1.04722,2.1096,1.47957,0.88756,0.9166,0.97236,0.74258,1.25695,0.63362,1.30825,0,0,0
2,24.6107,0.91265,1.72902,1.31096,0.88675,0.91739,0.97236,0.75096,1.2502,0.62268,1.30168,1.17822e-06,1.17822e-06,1.17822e-06
3,36.7405,0.95403,2.00977,1.32572,0.883,0.93275,0.97427,0.75062,1.24789,0.61956,1.29824,2.33288e-06,2.33288e-06,2.33288e-06
4,48.5972,0.87528,1.6395,1.18615,0.88669,0.91939,0.97102,0.73914,1.2467,0.62246,1.29433,3.46397e-06,3.46397e-06,3.46397e-06
5,60.212,0.93109,1.71687,1.3933,0.89125,0.91327,0.9701,0.73135,1.24619,0.61746,1.29308,4.5715e-06,4.5715e-06,4.5715e-06
6,71.857,1.08039,3.61203,1.59198,0.88388,0.91264,0.97008,0.76484,1.24945,0.61811,1.29028,5.65548e-06,5.65548e-06,5.65548e-06
7,83.6232,0.75718,0.79517,1.20354,0.88138,0.91363,0.9701,0.7567,1.25097,0.62234,1.28891,6.71588e-06,6.71588e-06,6.71588e-06
8,95.079,0.78231,1.64764,1.19822,0.8791,0.91295,0.9711,0.76928,1.24259,0.60879,1.28268,7.75273e-06,7.75273e-06,7.75273e-06
9,106.719,0.72608,1.07957,1.21406,0.8816,0.91317,0.97425,0.77125,1.23988,0.61163,1.28157,8.76602e-06,8.76602e-06,8.76602e-06
10,118.462,0.88101,1.48535,1.43895,0.87462,0.93224,0.97592,0.77192,1.2366,0.61061,1.28117,9.75574e-06,9.75574e-06,9.75574e-06
11,130.608,0.95378,1.18809,1.3275,0.8731,0.93271,0.97594,0.78057,1.23586,0.61194,1.28372,1.07219e-05,1.07219e-05,1.07219e-05
12,143.017,0.71785,0.63368,1.2639,0.87247,0.93277,0.97595,0.79831,1.23624,0.62299,1.28684,1.16645e-05,1.16645e-05,1.16645e-05
13,155.52,0.63371,0.68766,0.96596,0.86979,0.9346,0.97598,0.79785,1.23342,0.62594,1.28464,1.25835e-05,1.25835e-05,1.25835e-05
14,167.807,0.93712,0.94549,1.50301,0.86627,0.93563,0.97604,0.80068,1.22644,0.63242,1.28861,1.3479e-05,1.3479e-05,1.3479e-05
15,181.611,0.55238,0.51293,0.98345,0.81276,0.92226,0.97607,0.7958,1.22515,0.64572,1.28743,1.43509e-05,1.43509e-05,1.43509e-05
16,193.842,0.70272,0.67466,1.31406,0.81141,0.91997,0.97611,0.79679,1.22009,0.66142,1.27946,1.51993e-05,1.51993e-05,1.51993e-05
17,205.544,0.57556,0.44628,1.08717,0.80885,0.91913,0.9761,0.78016,1.22433,0.67366,1.27994,1.60241e-05,1.60241e-05,1.60241e-05
18,216.794,0.69084,0.46596,1.11198,0.80885,0.91913,0.9761,0.78016,1.22433,0.67366,1.27994,1.68253e-05,1.68253e-05,1.68253e-05
19,228.447,0.6416,0.42394,0.97051,0.8103,0.91351,0.97453,0.76344,1.22295,0.68603,1.27738,1.7603e-05,1.7603e-05,1.7603e-05
20,239.659,0.75733,0.74772,1.21803,0.8103,0.91351,0.97453,0.76344,1.22295,0.68603,1.27738,1.83571e-05,1.83571e-05,1.83571e-05
21,251.78,0.92981,0.94345,1.47053,0.8139,0.89604,0.97281,0.76214,1.22637,0.70164,1.27832,1.90876e-05,1.90876e-05,1.90876e-05
22,263.125,0.9005,1.0518,1.3521,0.8139,0.89604,0.97281,0.76214,1.22637,0.70164,1.27832,1.97946e-05,1.97946e-05,1.97946e-05
23,277.033,0.69146,0.50739,1.32342,0.81239,0.89355,0.97285,0.76286,1.22257,0.71859,1.27439,2.0478e-05,2.0478e-05,2.0478e-05
24,294.673,0.82269,0.60895,1.32504,0.81239,0.89355,0.97285,0.76286,1.22257,0.71859,1.27439,2.11379e-05,2.11379e-05,2.11379e-05
25,308.712,0.60084,0.48543,1.15386,0.812,0.89583,0.97281,0.75516,1.23059,0.73909,1.27132,2.17741e-05,2.17741e-05,2.17741e-05
26,321.381,0.82804,0.63676,1.27161,0.812,0.89583,0.97281,0.75516,1.23059,0.73909,1.27132,2.23869e-05,2.23869e-05,2.23869e-05
27,333.175,0.64396,0.46614,1.17781,0.81626,0.89125,0.9728,0.73891,1.23912,0.77762,1.26936,2.2976e-05,2.2976e-05,2.2976e-05
28,344.575,0.56119,0.45882,1.04545,0.81626,0.89125,0.9728,0.73891,1.23912,0.77762,1.26936,2.35417e-05,2.35417e-05,2.35417e-05
29,356.101,0.55509,0.48038,1.07066,0.82841,0.88979,0.97285,0.75629,1.2605,0.83198,1.26042,2.40837e-05,2.40837e-05,2.40837e-05
30,367.593,0.75906,0.71683,1.20022,0.82841,0.88979,0.97285,0.75629,1.2605,0.83198,1.26042,2.46022e-05,2.46022e-05,2.46022e-05
31,379.446,0.47923,0.45906,0.96763,0.79545,0.90216,0.97296,0.75632,1.29688,0.87953,1.25999,2.50971e-05,2.50971e-05,2.50971e-05
32,391.374,0.34783,0.34458,0.92301,0.79545,0.90216,0.97296,0.75632,1.29688,0.87953,1.25999,2.55685e-05,2.55685e-05,2.55685e-05
